2023-06-08 18:28:13 -> |File URL
2023-06-08 18:28:13 -> 200|https://www.allrecipes.com/
2023-06-08 18:28:13 -> 200|https://www.foodnetwork.com/
2023-06-08 18:28:13 -> 200|https://www.delish.com/
2023-06-08 18:28:13 -> 200|https://www.epicurious.com/
2023-06-08 18:28:13 -> 200|https://www.bbc.co.uk/food
2023-06-08 18:28:13 -> 200|https://www.marthastewart.com/
2023-06-08 18:28:13 -> 301
200|https://www.cookinglight.com/
2023-06-08 18:28:13 -> 200|https://www.bonappetit.com/
2023-06-08 18:28:13 -> 200|https://www.seriouseats.com/
2023-06-08 18:28:13 -> 200|https://www.simplyrecipes.com/
